processus_total,erreur,nb_worker,temps(ms)
1200000,0.0011838964075147936,1,141
1200000,5.539008269415946E-5,1,150
2400000,9.677036789804061E-5,2,290
2400000,2.2260055123966792E-4,2,265
3600000,6.387834632564146E-5,3,415
3600000,3.9749205509720266E-5,3,378
4800000,4.487753145375537E-5,4,516
4800000,1.7299726064282832E-4,4,537
7200000,1.183447046282753E-4,6,1301
7200000,1.616702169143328E-4,6,1390
9600000,2.2313106771671508E-4,8,1899
9600000,1.925285919916202E-4,8,1848
14400000,1.3833685081384096E-4,12,6809
14400000,1.5070830444231213E-5,12,6704
