processus_total,erreur,nb_worker,temps(ms)
120000000,3.990961189607258E-5,1,13435
120000000,7.645158682996235E-5,1,13208
120000000,2.617984547195855E-5,2,14350
120000000,4.003693585047908E-5,2,15308
120000000,1.025039467173798E-6,3,14914
120000000,1.1996120211066782E-5,3,14124
120000000,4.6445574892332103E-5,4,14244
120000000,1.4415275346062475E-5,4,13619
120000000,5.9750928134808425E-5,6,19742
120000000,3.828623147650624E-5,6,16734
120000000,6.4150868732093975E-6,8,33639
120000000,3.869170933229042E-5,8,14133
120000000,3.877430663527652E-5,8,23725
120000000,5.574585506359648E-6,12,52910
120000000,1.1317622269924825E-4,12,51151
