processus_total,erreur,nb_worker,temps(ms)
12000000,6.688670108017282E-6,1,440
12000000,1.0748680073283789E-4,1,456
24000000,3.055358657546163E-5,2,450
24000000,1.3470229600153947E-4,2,475
36000000,8.830914703536366E-5,3,526
36000000,7.006979994245565E-6,3,470
48000000,1.6715431522794628E-5,4,479
48000000,4.663656082401253E-5,4,503
72000000,1.1777049538999585E-4,6,518
72000000,1.958957938461479E-5,6,510
96000000,6.382529467793675E-5,8,697
96000000,3.030991624525457E-5,8,528
144000000,2.049094045071292E-5,12,879
144000000,2.150828064315081E-5,12,854
