processus_total,erreur,nb_worker,temps(ms)
1200000000,6.512701904991725E-6,1,40422
1200000000,6.644106723939668E-6,1,40443
1200000000,2.3587578902356515E-6,1,40422
1200000000,1.5613018283606587E-5,1,40440
1200000000,9.208949703637003E-7,1,40406
1200000000,9.739303117886363E-6,1,40442
1200000000,2.9490431555707952E-5,1,40425
1200000000,2.961653120987129E-5,1,40404
1200000000,3.2583505679308887E-6,1,40414
1200000000,1.2458730578955763E-5,1,40458
1200000000,1.7476029088017423E-6,2,21192
1200000000,6.598808637243598E-7,2,21199
1200000000,9.830551951983705E-6,2,21070
1200000000,5.0124013080890085E-6,2,20870
1200000000,7.362589301167526E-6,2,21485
1200000000,2.4871428776838862E-6,2,21462
1200000000,7.703017611950473E-6,2,20832
1200000000,1.3214186042191729E-5,2,21596
1200000000,2.733743242479342E-5,2,21434
1200000000,2.3225929728172846E-5,2,21801
1200000000,2.0939403712509617E-5,3,15096
1200000000,4.314241624441986E-6,3,15223
1200000000,1.1528204678251834E-5,3,14721
1200000000,1.0567071883972987E-6,3,14996
1200000000,9.502692769086586E-6,3,15147
1200000000,9.929064749323627E-6,3,15193
1200000000,2.0774208901568336E-6,3,15267
1200000000,2.2035614021355457E-5,3,15577
1200000000,9.860097607265092E-6,3,14761
1200000000,9.953631774788691E-6,3,15255
1200000000,7.569327459717631E-6,4,11522
1200000000,1.0895992100053202E-6,4,11432
1200000000,1.8824928302531925E-5,4,11722
1200000000,1.5024144994211486E-5,4,11676
1200000000,2.8390140382462027E-5,4,11366
1200000000,4.455195739917407E-6,4,11447
1200000000,3.1119280201867176E-6,4,11681
1200000000,1.067831728221739E-5,4,11685
1200000000,8.200805334732376E-6,4,11519
1200000000,3.499368315816321E-6,4,11267
1200000000,2.6297620129837573E-5,6,8011
1200000000,1.3004101517173629E-5,6,8093
1200000000,1.2297290302415364E-5,6,8046
1200000000,6.264420193722355E-6,6,8030
1200000000,1.8070533872337697E-5,6,8120
1200000000,1.7469989220473E-5,6,8283
1200000000,3.5639280585064853E-6,6,8056
1200000000,1.282462368062001E-5,6,8014
1200000000,9.181036516673026E-6,6,8037
1200000000,5.058923490765953E-6,6,8029
1200000000,4.586763826208134E-6,8,6351
1200000000,9.002782980503927E-6,8,6499
1200000000,6.3120034092996776E-6,8,6428
1200000000,2.2629629208051025E-5,8,6300
1200000000,9.128148136452454E-6,8,6555
1200000000,3.9683448813902885E-6,8,6386
1200000000,1.4942608724125765E-5,8,6289
1200000000,2.4282718550382896E-5,8,6654
1200000000,2.8709348034247905E-5,8,6317
1200000000,1.608109708362296E-5,8,6528
1200000000,1.5608937419206502E-5,12,6689
1200000000,2.8001475991275624E-6,12,6588
1200000000,1.2701707125299168E-5,12,6483
1200000000,1.6478658112186578E-6,12,6565
1200000000,3.618938709355534E-7,12,6517
1200000000,1.3096411384312708E-5,12,6584
1200000000,8.51364678869191E-6,12,6547
1200000000,1.2016279837163473E-5,12,6544
1200000000,6.636679493212946E-6,12,6763
1200000000,5.624617322564654E-6,12,6587
