processus_total,erreur,nb_worker,temps(ms)
120000000,2.717060698799472E-7,1,4084
120000000,6.741721755721996E-6,1,4038
120000000,2.9662318894192067E-5,1,4174
120000000,5.198645224519753E-5,1,4174
120000000,3.4721160751286626E-5,1,4179
120000000,3.61240095837498E-5,2,2425
120000000,3.610278892461137E-5,2,2411
120000000,1.1348890109041E-5,2,2694
120000000,1.2036276195917382E-5,2,2457
120000000,1.2460689377413735E-5,2,2429
120000000,1.4455431330913076E-5,3,2024
120000000,2.7124164801074188E-5,3,2159
120000000,4.255158395131499E-5,3,2156
120000000,1.6206135705027277E-5,3,2145
120000000,4.850626415624891E-5,3,2150
120000000,4.896022299330937E-5,3,2126
120000000,4.784613839151038E-5,4,2670
120000000,3.8044479230406E-5,4,2641
120000000,1.2250768119879777E-5,4,2817
120000000,2.1640909762341917E-5,4,2863
120000000,4.401809476105209E-5,4,2841
120000000,2.9136781252637117E-6,4,2829
120000000,1.6707106526510314E-5,6,4054
120000000,2.6988515850242015E-5,6,4094
