processus_total,erreur,nb_worker,temps(ms)
12000000,1.5999960695686972E-4,1,455
12000000,6.121743894454553E-5,1,406
12000000,5.401073985397825E-5,1,421
12000000,9.061637676514195E-5,1,406
12000000,4.8272836906432984E-5,1,424
12000000,4.816673361102356E-5,1,422
12000000,9.877800551425272E-5,1,422
12000000,9.262401438135406E-5,1,422
24000000,7.655769012537179E-5,2,460
24000000,9.617847477700445E-5,2,407
24000000,5.134983247288232E-5,2,441
24000000,7.056285393558726E-5,2,421
24000000,9.485218358466932E-5,2,437
24000000,8.29686145005097E-5,2,452
24000000,7.946720575242266E-5,2,486
24000000,1.57249246272933E-4,2,500
24000000,2.1269548228550277E-5,2,438
24000000,1.4302307969376435E-4,2,484
24000000,2.237760124853146E-4,2,467
36000000,4.8175058607166516E-5,3,469
36000000,2.677756070280269E-5,3,471
36000000,6.971612229014851E-6,3,484
36000000,1.6237966693593562E-5,3,502
36000000,1.1091747395060486E-4,3,451
36000000,1.315992915563318E-4,3,484
36000000,2.2242161769567768E-5,3,541
36000000,1.1367615963096727E-4,3,531
36000000,8.58770962373725E-5,3,516
36000000,3.399258478951292E-5,3,533
48000000,1.7211097179634418E-5,4,502
48000000,1.7909093595938655E-5,4,484
48000000,4.783022289729791E-5,4,490
48000000,8.218842894886954E-6,4,500
48000000,9.503786435156514E-5,4,503
48000000,7.08463130016082E-5,4,547
48000000,4.2278000716648465E-5,4,545
48000000,6.272941090391783E-5,4,534
48000000,9.830886568119461E-5,4,500
48000000,9.021848940742729E-5,4,567
48000000,3.811344637232318E-5,4,534
48000000,1.032343439207419E-4,4,534
72000000,9.775024560797656E-6,6,564
72000000,1.152146574139799E-4,6,549
72000000,2.1835432470545415E-5,6,516
72000000,2.7997748599728393E-5,6,501
72000000,1.3366830581653294E-4,6,515
72000000,4.010288316103791E-5,6,551
72000000,6.869772126977932E-5,6,551
72000000,1.1029853806090501E-4,6,562
72000000,8.265030461428142E-5,6,547
72000000,3.8829643616266135E-5,6,547
72000000,5.708773542042759E-5,6,562
72000000,1.7237623003557452E-5,6,555
72000000,1.2471299706982949E-5,6,547
72000000,7.241966160496954E-5,6,566
96000000,6.754384793244916E-5,8,594
96000000,1.0919539011796764E-5,8,540
96000000,7.297670390579836E-5,8,516
96000000,1.1224585986134209E-5,8,583
144000000,2.395698143342789E-5,12,976
144000000,1.6399216354685729E-6,12,924
144000000,2.12336635182962E-5,12,831
144000000,6.751290113794297E-5,12,837
144000000,9.472787946162118E-5,12,891
144000000,1.5044304620449537E-5,12,938
144000000,4.5052275561224124E-6,12,883
144000000,5.421410450348943E-5,12,940
144000000,2.7167123064233052E-5,12,1003
144000000,3.910374379609738E-5,12,940
