processus_total,erreur,nb_worker,temps(ms)
120000000,2.4643633022089463E-5,1,4126
120000000,2.4579971044815537E-5,1,4067
120000000,4.5970395396415935E-5,1,4033
120000000,3.666513639022479E-5,1,4174
120000000,1.2397753817045787E-4,1,4174
120000000,9.561612731153238E-5,1,4177
120000000,1.0806204386130543E-4,1,4173
120000000,6.83223588663545E-7,1,4173
120000000,1.347095601694684E-5,1,4191
120000000,2.524613647255349E-5,2,2143
120000000,1.8744289798145156E-5,2,2205
120000000,1.0892645938837003E-5,2,2159
120000000,1.1187449832783317E-5,2,2207
120000000,5.500313199516505E-6,2,2221
120000000,3.552754579628519E-5,2,2238
120000000,2.8689514738433132E-6,2,2440
120000000,3.943214706673016E-5,2,2425
120000000,6.089512818204023E-7,2,2096
120000000,2.6052521517552055E-5,3,1547
120000000,5.230476213142581E-5,3,1627
120000000,7.51063603117737E-5,3,1548
120000000,3.7195652867130575E-5,3,1519
120000000,1.6948858772610557E-5,3,1518
120000000,5.799687759891259E-6,3,1737
120000000,5.9199190998764216E-5,3,1862
120000000,7.699499896972225E-5,3,1772
120000000,1.0383350121069651E-5,3,1643
120000000,8.324219773517623E-5,3,1554
120000000,3.7779220991882426E-5,4,1237
120000000,2.869677890607936E-5,4,1320
120000000,7.307750203642317E-5,4,1222
120000000,4.389077080664559E-5,4,1283
120000000,2.7359877384175014E-5,4,1205
120000000,1.1664914661984384E-5,4,1378
120000000,2.580848393816691E-5,4,1361
120000000,3.238917358584683E-5,4,1302
120000000,5.348022337707247E-5,4,1315
120000000,6.100523235372667E-5,4,1236
120000000,3.0638469211873986E-5,6,875
120000000,3.149562057129237E-5,6,877
120000000,5.110350956021228E-5,6,880
120000000,2.5129422847574846E-5,6,827
120000000,7.420782846172704E-6,6,861
120000000,2.4049454567909755E-5,6,885
120000000,8.248053934173942E-5,6,847
120000000,3.366012779719235E-5,6,927
120000000,2.5553836029212558E-5,6,908
120000000,6.045120988439756E-5,6,940
120000000,2.2638280739020907E-5,8,676
120000000,7.75232301134845E-5,8,663
120000000,6.0886233395604485E-5,8,693
120000000,6.934993020687322E-6,8,675
120000000,7.611768777994489E-6,8,722
120000000,1.0956307916110932E-5,8,721
120000000,2.3781910996101287E-5,8,784
120000000,8.733778493744299E-5,8,724
120000000,4.6087109021253215E-5,8,723
120000000,4.569224149503825E-5,8,733
120000000,2.073176758272605E-6,8,722
120000000,5.288106608839008E-6,8,728
120000000,1.4932896160114143E-5,8,727
120000000,8.463215090492664E-5,8,728
120000000,1.475252055800293E-5,8,802
120000000,3.2535432866106856E-5,8,775
120000000,4.0489833859184165E-6,8,731
120000000,3.4169423615242417E-5,8,720
120000000,1.6155369390466105E-5,8,757
120000000,1.8213773321098015E-5,8,719
120000000,3.523045656919533E-5,8,729
120000000,1.806294337426819E-5,12,850
120000000,4.818566893687709E-5,12,755
120000000,1.1210955825206645E-5,12,722
120000000,1.0817875748614272E-4,12,735
